INFO 2025-05-11 03:30:36,458 autoreload 8873 8552794176 Watching for file changes with StatReloader
WARNING 2025-05-11 03:30:42,389 basehttp 8873 6193737728 "GET / HTTP/1.1" 404 3159
WARNING 2025-05-11 03:30:42,544 basehttp 8873 6193737728 "GET /favicon.ico HTTP/1.1" 404 3210
INFO 2025-05-11 03:31:28,451 basehttp 8873 6193737728 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-11 03:31:28,474 basehttp 8873 6193737728 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4157
INFO 2025-05-11 03:31:28,507 basehttp 8873 6244216832 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-05-11 03:31:28,508 basehttp 8873 6210564096 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-05-11 03:31:28,508 basehttp 8873 6227390464 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-05-11 03:31:28,509 basehttp 8873 6277869568 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-05-11 03:31:28,509 basehttp 8873 6193737728 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-05-11 03:31:28,510 basehttp 8873 6261043200 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-05-11 03:31:28,522 basehttp 8873 6261043200 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-05-11 03:31:37,634 basehttp 8873 6193737728 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4333
INFO 2025-05-11 03:31:53,279 basehttp 8873 6210564096 "OPTIONS /api/api/restaurants/search/?city=San+Jose&date=&time=19%3A00&people=1&page=1&pageSize=12 HTTP/1.1" 200 0
WARNING 2025-05-11 03:31:53,284 basehttp 8873 6210564096 "GET /api/api/restaurants/search/?city=San+Jose&date=&time=19%3A00&people=1&page=1&pageSize=12 HTTP/1.1" 404 3339
WARNING 2025-05-11 03:31:53,861 basehttp 8873 6210564096 "GET /api/api/restaurants/search/?city=San+Jose&date=&time=19%3A00&people=1&page=1&pageSize=12 HTTP/1.1" 404 3339
INFO 2025-05-11 03:38:04,223 basehttp 8873 6227390464 "OPTIONS /api/api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 200 0
WARNING 2025-05-11 03:38:04,230 basehttp 8873 6227390464 "GET /api/api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 404 3272
WARNING 2025-05-11 04:58:12,119 basehttp 8873 6244216832 "GET / HTTP/1.1" 404 3159
WARNING 2025-05-11 04:58:12,209 basehttp 8873 6244216832 "GET /favicon.ico HTTP/1.1" 404 3210
INFO 2025-05-11 04:58:16,863 basehttp 8873 6193737728 "OPTIONS /api/api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 200 0
WARNING 2025-05-11 04:58:16,868 basehttp 8873 6193737728 "GET /api/api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 404 3272
INFO 2025-05-11 05:00:43,373 basehttp 8873 6210564096 "GET /api/restaurants/hot/ HTTP/1.1" 200 5548
INFO 2025-05-11 05:00:43,404 basehttp 8873 6210564096 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-05-11 05:00:43,546 basehttp 8873 6227390464 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-05-11 05:00:43,548 basehttp 8873 6193737728 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-05-11 05:00:43,549 basehttp 8873 6210564096 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-05-11 05:00:43,556 basehttp 8873 6261043200 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-05-11 05:00:43,556 basehttp 8873 6277869568 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-05-11 05:00:43,560 basehttp 8873 6193737728 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-05-11 05:00:43,560 basehttp 8873 6210564096 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-05-11 05:00:43,561 basehttp 8873 6261043200 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-05-11 05:00:43,562 basehttp 8873 6277869568 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-05-11 05:00:43,562 basehttp 8873 6227390464 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-05-11 05:00:43,563 basehttp 8873 6294695936 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-05-11 05:00:51,844 basehttp 8873 6210564096 "GET /api/restaurants/hot/ HTTP/1.1" 200 5548
INFO 2025-05-11 05:00:55,064 basehttp 8873 6244216832 "GET /api/restaurants/hot/ HTTP/1.1" 200 5548
